detector,scope_type,scope_id,transition,definition,delta_tp,delta_tn,delta_fp,delta_fn,delta_macro_f1,delta_occupied_precision,delta_occupied_recall,delta_occupied_f1,delta_vacant_precision,delta_vacant_recall,delta_vacant_f1,delta_accuracy,delta_balanced_accuracy,delta_false_free_rate,delta_false_occupied_rate,delta_occupied_count_mae,delta_occupied_count_rmse,delta_occupied_count_mean_signed_error
D1-LL,sequence,gopro23,R1_to_R2,signed_absolute_change_target_minus_source,15.0,-48.0,48.0,-15.0,-0.010902320908507623,-0.14430379746835442,0.09999999999999998,0.0022263450834879572,0.010301218327229189,-0.060377358490566024,-0.024030986900503093,-0.03492063492063491,0.019811320754717032,-0.09999999999999998,0.06037735849056604,-0.022222222222222365,-0.15971318898170317,1.4000000000000001
D1-LL,sequence,gopro24,R0_to_R1,signed_absolute_change_target_minus_source,3.0,0.0,0.0,-3.0,0.0141376511010749,0.02104278700023382,0.02970297029702973,0.02580128205128207,0.004870129870129913,0.0,0.0024740201508677284,0.004761904761904856,0.014851485148514865,-0.02970297029702962,0.0,-0.09999999999999998,-0.09430437764997779,0.09999999999999998
D1-LL,sequence,gopro24,R1_to_R2,signed_absolute_change_target_minus_source,29.0,-40.0,40.0,-29.0,0.05462469398919412,0.024800939825088075,0.2871287128712871,0.12855477855477843,0.043629550321199195,-0.0756143667296787,-0.019305390576390136,-0.01746031746031751,0.10575717307080423,-0.28712871287128716,0.07561436672967864,1.8333333333333335,1.7230063894969248,2.3000000000000003
D1-LL,sequence,gopro25,R0_to_R1,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-LL,sequence,gopro25,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-6.0,6.0,0.0,-0.047138047138047146,-0.053571428571428575,0.0,-0.013468013468013462,-0.0400742115027829,-0.13636363636363635,-0.08080808080808088,-0.09523809523809523,-0.06818181818181823,0.0,0.13636363636363638,-1.9999999999999998,-1.781991286623796,1.9999999999999998
D1-LL,sequence,gopro26,R0_to_R1,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-LL,sequence,gopro26,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-13.0,13.0,0.0,-0.034703509203748095,-0.08758865248226949,0.0,-0.05678160919540237,-0.0009557217274407392,-0.02372262773722622,-0.012625409212093874,-0.022108843537414935,-0.011861313868613221,0.0,0.023722627737226283,0.25,0.37002127532727946,0.4642857142857143
D1-LL,sequence,gopro30,R0_to_R1,signed_absolute_change_target_minus_source,1.0,0.0,0.0,-1.0,0.20601265822784814,0.3333333333333333,0.5,0.4,0.024358974358974383,0.0,0.012025316455696156,0.023809523809523836,0.25,-0.5,0.0,-0.5,-0.2928932188134524,0.5
D1-LL,sequence,gopro30,R1_to_R2,signed_absolute_change_target_minus_source,-1.0,0.0,0.0,1.0,-0.20601265822784814,-0.3333333333333333,-0.5,-0.4,-0.024358974358974383,0.0,-0.012025316455696156,-0.023809523809523836,-0.25,0.5,0.0,0.5,0.2928932188134524,-0.5
D1-LL,sequence,gopro33,R0_to_R1,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-LL,sequence,gopro33,R1_to_R2,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-LL,sequence,gopro34,R0_to_R1,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
