detector,method_id,component,pipeline,prediction_field,scope_type,scope_id,samples,frames,truth_occupied,truth_vacant,tp,tn,fp,fn,macro_f1,occupied_precision,occupied_recall,occupied_f1,vacant_precision,vacant_recall,vacant_f1,accuracy,balanced_accuracy,false_free_rate,false_occupied_rate,occupied_count_mae,occupied_count_rmse,occupied_count_mean_signed_error
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_14,376,376,23,353,22,343,10,1,0.8921090387374462,0.6875,0.9565217391304348,0.8,0.997093023255814,0.9716713881019831,0.9842180774748924,0.9707446808510638,0.9640965636162089,0.043478260869565216,0.028328611898016998,0.02925531914893617,0.1710418637320588,0.023936170212765957
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_15,376,376,48,328,9,320,8,39,0.6042548426827903,0.5294117647058824,0.1875,0.27692307692307694,0.8913649025069638,0.975609756097561,0.9315866084425036,0.875,0.5815548780487805,0.8125,0.024390243902439025,0.125,0.3535533905932738,-0.08244680851063829
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_16,376,376,91,285,71,268,17,20,0.8643618317782523,0.8068181818181818,0.7802197802197802,0.7932960893854749,0.9305555555555556,0.9403508771929825,0.9354275741710297,0.901595744680851,0.8602853287063814,0.21978021978021978,0.05964912280701754,0.09840425531914894,0.31369452548482407,-0.007978723404255319
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_17,376,376,26,350,8,342,8,18,0.6721663313212609,0.5,0.3076923076923077,0.380952380952381,0.95,0.9771428571428571,0.9633802816901408,0.9308510638297872,0.6424175824175824,0.6923076923076923,0.022857142857142857,0.06914893617021277,0.26296185307038883,-0.026595744680851064
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_18,376,376,34,342,0,339,3,34,0.4741258741258741,0.0,0.0,0.0,0.9088471849865952,0.9912280701754386,0.9482517482517482,0.901595744680851,0.4956140350877193,1.0,0.008771929824561403,0.09840425531914894,0.31369452548482407,-0.08244680851063829
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_19,376,376,53,323,2,257,66,51,0.4238189414676952,0.029411764705882353,0.03773584905660377,0.03305785123966942,0.8344155844155844,0.7956656346749226,0.814580031695721,0.6888297872340425,0.41670074186576317,0.9622641509433962,0.2043343653250774,0.31117021276595747,0.5578263284983576,0.0398936170212766
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_20,376,376,19,357,0,246,111,19,0.3954983922829582,0.0,0.0,0.0,0.9283018867924528,0.6890756302521008,0.7909967845659164,0.6542553191489362,0.3445378151260504,1.0,0.31092436974789917,0.34574468085106386,0.5880005789547013,0.24468085106382978
D1-LL,QV2-1,R0,B1,detector_occupied,overall,all,7896,376,798,7098,182,6702,396,616,0.5971675528482564,0.314878892733564,0.22807017543859648,0.2645348837209302,0.9158239956272205,0.9442096365173288,0.9298002219755827,0.8718338399189463,0.5861399059779626,0.7719298245614035,0.055790363482671176,0.9787234042553191,1.443989744762311,-0.5851063829787234
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro1,525,25,41,484,3,478,6,38,0.538,0.3333333333333333,0.07317073170731707,0.12,0.9263565891472868,0.987603305785124,0.956,0.9161904761904762,0.5303870187462205,0.926829268292683,0.012396694214876033,1.36,1.7204650534085253,-1.28
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro11,525,25,70,455,13,423,32,57,0.565449895373169,0.28888888888888886,0.18571428571428572,0.22608695652173913,0.88125,0.9296703296703297,0.904812834224599,0.8304761904761905,0.5576923076923077,0.8142857142857143,0.07032967032967033,1.08,1.3114877048604001,-1.0
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro12,567,27,52,515,31,489,26,21,0.761476840456478,0.543859649122807,0.5961538461538461,0.5688073394495413,0.9588235294117647,0.9495145631067962,0.9541463414634147,0.9171075837742504,0.7728342046303212,0.40384615384615385,0.05048543689320388,0.7777777777777778,0.9622504486493763,0.18518518518518517
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro19,42,2,4,38,2,36,2,2,0.7236842105263157,0.5,0.5,0.5,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9047619047619048,0.7236842105263157,0.5,0.05263157894736842,0.0,0.0,0.0
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro23,945,45,150,795,16,757,38,134,0.5274230688716768,0.2962962962962963,0.10666666666666667,0.1568627450980392,0.8496071829405163,0.9522012578616352,0.8979833926453143,0.817989417989418,0.529433962264151,0.8933333333333333,0.04779874213836478,2.1333333333333333,2.70801280154532,-2.1333333333333333
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro24,630,30,101,529,31,469,60,70,0.6005969101123596,0.34065934065934067,0.3069306930693069,0.3229166666666667,0.8701298701298701,0.8865784499054821,0.8782771535580525,0.7936507936507936,0.5967545714873945,0.693069306930693,0.11342155009451796,0.3333333333333333,0.5773502691896257,-0.3333333333333333
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro25,63,3,19,44,1,37,7,18,0.4107744107744108,0.125,0.05263157894736842,0.07407407407407407,0.6727272727272727,0.8409090909090909,0.7474747474747475,0.6031746031746031,0.4467703349282297,0.9473684210526315,0.1590909090909091,3.6666666666666665,3.696845502136472,-3.6666666666666665
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro26,588,28,40,548,19,520,28,21,0.695893100281815,0.40425531914893614,0.475,0.4367816091954023,0.9611829944547134,0.948905109489051,0.9550045913682277,0.9166666666666666,0.7119525547445256,0.525,0.051094890510948905,0.5357142857142857,0.7319250547113999,0.25
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro30,42,2,2,40,0,38,2,2,0.47500000000000003,0.0,0.0,0.0,0.95,0.95,0.9500000000000001,0.9047619047619048,0.475,1.0,0.05,1.0,1.0,0.0
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro33,336,16,32,304,0,288,16,32,0.46153846153846156,0.0,0.0,0.0,0.9,0.9473684210526315,0.9230769230769231,0.8571428571428571,0.47368421052631576,1.0,0.05263157894736842,1.0,1.0,-1.0
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro34,546,26,44,502,6,461,41,38,0.5264735264735265,0.1276595744680851,0.13636363636363635,0.13186813186813187,0.9238476953907816,0.9183266932270916,0.9210789210789211,0.8553113553113553,0.527345164795364,0.8636363636363636,0.08167330677290836,0.5769230769230769,0.8086075400626399,0.11538461538461539
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro36,42,2,3,39,2,35,4,1,0.6888888888888889,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.9722222222222222,0.8974358974358975,0.9333333333333333,0.8809523809523809,0.782051282051282,0.3333333333333333,0.10256410256410256,1.5,1.5811388300841898,1.5
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro4,609,29,32,577,1,540,37,31,0.4846689895470383,0.02631578947368421,0.03125,0.02857142857142857,0.9457092819614711,0.9358752166377816,0.940766550522648,0.8883415435139573,0.4835626083188908,0.96875,0.06412478336221837,0.3448275862068966,0.5872202195147035,0.20689655172413793
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro46,630,30,38,592,4,565,27,34,0.5323622823349031,0.12903225806451613,0.10526315789473684,0.11594202898550723,0.9432387312186978,0.9543918918918919,0.9487825356842989,0.9031746031746032,0.5298275248933144,0.8947368421052632,0.04560810810810811,0.36666666666666664,0.6055300708194983,-0.23333333333333334
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro5,693,33,61,632,26,621,11,35,0.7474489795918368,0.7027027027027027,0.4262295081967213,0.5306122448979592,0.9466463414634146,0.9825949367088608,0.9642857142857143,0.9336219336219336,0.704412222452791,0.5737704918032787,0.01740506329113924,1.0909090909090908,1.6143297699232972,-0.7272727272727273
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro8,420,20,48,372,18,365,7,30,0.722455394616992,0.72,0.375,0.4931506849315069,0.9240506329113924,0.9811827956989247,0.9517601043024772,0.9119047619047619,0.6780913978494624,0.625,0.01881720430107527,1.45,1.6278820596099706,-1.15
D1-LL,QV2-1,R0,B1,detector_occupied,sequence,gopro9,693,33,61,632,9,580,52,52,0.5326312512969495,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.9177215189873418,0.9177215189873418,0.9177215189873418,0.84992784992785,0.5326312512969495,0.8524590163934426,0.08227848101265822,0.9696969696969697,1.1806521053804944,0.0
D1-LL,QV2-1,R0,B1,detector_occupied,slot,slot_00,376,376,4,372,2,372,0,2,0.8319928507596068,1.0,0.5,0.6666666666666666,0.9946524064171123,1.0,0.9973190348525469,0.9946808510638298,0.75,0.5,0.0,0.005319148936170213,0.07293249574894728,-0.005319148936170213
D1-LL,QV2-1,R0,B1,detector_occupied,slot,slot_01,376,376,13,363,13,363,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D1-LL,QV2-1,R0,B1,detector_occupied,slot,slot_02,376,376,54,322,33,322,0,21,0.8635208711433757,1.0,0.6111111111111112,0.7586206896551725,0.9387755102040817,1.0,0.968421052631579,0.9441489361702128,0.8055555555555556,0.3888888888888889,0.0,0.05585106382978723,0.23632829671833044,-0.05585106382978723
D1-LL,QV2-1,R0,B1,detector_occupied,slot,slot_03,376,376,52,324,1,324,0,51,0.48238723783302295,1.0,0.019230769230769232,0.03773584905660378,0.864,1.0,0.9270386266094421,0.8643617021276596,0.5096153846153846,0.9807692307692307,0.0,0.1356382978723404,0.3682910504917821,-0.1356382978723404
D1-LL,QV2-1,R0,B1,detector_occupied,slot,slot_04,376,376,48,328,0,328,0,48,0.46590909090909094,0.0,0.0,0.0,0.8723404255319149,1.0,0.9318181818181819,0.8723404255319149,0.5,1.0,0.0,0.1276595744680851,0.3572948005052482,-0.1276595744680851
